,serial_number,capacity_bytes,failure,smart_5_raw,smart_187_raw,smart_188_raw,smart_197_raw,smart_198_raw,smart_9_raw,smart_193_raw,smart_194_raw,smart_241_raw,smart_242_raw
823,Z305DGGP,4.00079E+12,1,0,9,0,128,128,25259,4308,22,44017903872,1.24963E+11
19745,Z305NAVM,4.00079E+12,0,0,0,0,0,0,24821,51485,23,38622770576,1.06996E+11
3398,Z30252BN,4.00079E+12,1,1856,7,0,144,144,36601,59066,25,24333230710,2.13042E+11
3389,Z30252BQ,4.00079E+12,0,0,0,0,0,0,36771,28795,24,24622588016,1.99781E+11
16638,Z3025RY0,4.00079E+12,1,0,0,0,24,24,35231,138702,26,23583012905,2.21288E+11
10965,Z3050DRH,4.00079E+12,0,0,0,0,0,0,25805,8033,19,45581953824,1.09556E+11
823,Z305DGGP,4.00079E+12,1,0,9,0,128,128,25235,4308,22,44001217584,1.24788E+11
17621,Z302T68R,4.00079E+12,0,0,0,0,0,0,28567,15900,29,50169675576,1.15846E+11
3398,Z30252BN,4.00079E+12,1,1840,7,0,144,144,36577,59066,25,24331877105,2.13002E+11
13308,S300Z6Z1,4.00079E+12,0,0,0,0,0,0,30654,38849,23,55412530232,1.03753E+11
16638,Z3025RY0,4.00079E+12,1,0,0,0,24,24,35207,138702,25,23581572520,2.21259E+11
18980,Z3053PX6,4.00079E+12,0,0,0,0,0,0,25179,8299,28,41999312432,1.13185E+11
825,Z305DGGP,4.00079E+12,1,0,9,0,128,128,25211,4308,22,43977800144,1.24616E+11
3133,S300XA2B,4.00079E+12,0,0,0,0,0,0,34459,19425,26,23976041349,2.54026E+11
3403,Z30252BN,4.00079E+12,1,1824,7,0,136,136,36553,59066,25,24330580089,2.12961E+11
6236,S301K53M,4.00079E+12,0,0,0,0,0,0,27645,12555,22,47844622328,1.07441E+11
16665,Z3025RY0,4.00079E+12,1,0,0,0,8,8,35184,138702,26,23580222760,2.21228E+11
1093,Z302SQ7T,4.00079E+12,0,0,0,0,0,0,29240,18945,22,52552020264,1.05147E+11
7996,Z302T6B7,4.00079E+12,0,0,0,0,0,0,29414,199582,25,26103098985,3.32016E+11
16842,Z304KCW0,4.00079E+12,0,0,0,0,0,0,26754,237438,26,30170088720,1.24518E+11
11120,Z305JJHW,4.00079E+12,0,0,0,0,0,0,24293,3755,33,39565973800,1.13068E+11
3564,Z302B11W,4.00079E+12,1,0,14,0,8,8,30051,51401,25,49364682120,1.33594E+11
3573,Z3025L55,4.00079E+12,1,1144,3,0,920,920,36675,55604,25,24128363768,1.98315E+11
20170,Z305EJ7C,4.00079E+12,1,16,27,0,16,16,24940,4351,28,40929844656,1.18771E+11
3564,Z302B11W,4.00079E+12,1,0,14,0,8,8,30026,51401,24,49362026112,1.33464E+11
3925,Z30398QW,4.00079E+12,0,0,0,0,0,0,28709,210254,24,21690155456,2.46854E+11
3573,Z3025L55,4.00079E+12,1,0,3,0,0,0,36650,55604,25,24126230786,1.98274E+11
11952,W300W0J6,4.00079E+12,0,0,0,0,0,0,21465,470,19,29924425072,1.08146E+11
20171,Z305EJ7C,4.00079E+12,1,16,8,0,8,8,24915,4351,28,40925577928,1.1859E+11
13996,Z304ZKSH,4.00079E+12,0,0,0,0,0,0,26474,31935,22,43519783800,1.01382E+11
3568,Z302B11W,4.00079E+12,1,0,14,0,8,8,30003,51401,24,49360090016,1.33309E+11
1545,Z3029GV5,4.00079E+12,0,0,0,1,0,0,35014,63255,28,25060224656,2.22101E+11
3577,Z3025L55,4.00079E+12,1,0,3,0,0,0,36626,55604,25,24124952882,1.9824E+11
4407,Z302ATEM,4.00079E+12,0,0,0,0,0,0,33940,55340,17,55576711360,1.2906E+11
20168,Z305EJ7C,4.00079E+12,1,16,8,0,8,8,24892,4351,28,40921565856,1.18441E+11
21783,Z3025LCV,4.00079E+12,0,0,0,0,0,0,36478,23250,24,24137021130,1.68183E+11
3568,Z302B11W,4.00079E+12,1,0,14,0,8,8,29978,51401,24,49354462624,1.33168E+11
2271,Z304KCYL,4.00079E+12,0,0,0,0,0,0,27420,15032,22,45596185032,1.35401E+11
3577,Z3025L55,4.00079E+12,1,0,3,0,0,0,36603,55604,25,24123635895,1.98205E+11
5425,S300XE1B,4.00079E+12,0,0,0,0,0,0,30102,37647,23,54432091192,1.04031E+11
20171,Z305EJ7C,4.00079E+12,1,16,7,0,8,8,24871,4350,29,40919941552,1.183E+11
